epoch,accuracy,dice_coef,loss,lr,mean_io_u_1,precision,val_accuracy,val_dice_coef,val_loss,val_mean_io_u_1,val_precision
0,0.9224653244018555,0.45355600118637085,4.198169231414795,0.001,0.41365766525268555,0.9224653244018555,0.9942842125892639,0.4490281045436859,0.2270214557647705,0.25,0.9942842125892639
1,0.9948492050170898,0.49426788091659546,0.05833074450492859,0.001,0.5884801149368286,0.9948492646217346,0.9942842125892639,0.5025850534439087,0.034941062331199646,0.5926827192306519,0.9942842125892639
2,0.9948492050170898,0.500296413898468,0.033331163227558136,0.001,0.6523827314376831,0.9948492646217346,0.9942842125892639,0.5072355270385742,0.029841462150216103,0.6537343263626099,0.9942842125892639
3,0.9948492050170898,0.5047205686569214,0.028585931286215782,0.001,0.6657610535621643,0.9948491454124451,0.9942842125892639,0.5072570443153381,0.03096729889512062,0.7029105424880981,0.9942842125892639
4,0.9948492050170898,0.5035045146942139,0.0314410924911499,0.001,0.6485483646392822,0.9948492050170898,0.9942842125892639,0.5103699564933777,0.027460724115371704,0.6339956521987915,0.9942842125892639
5,0.9948491454124451,0.5099454522132874,0.02554444409906864,0.001,0.6721776127815247,0.9948492050170898,0.9942842125892639,0.5221973061561584,0.024337630718946457,0.7421627640724182,0.9942842125892639
6,0.9948492050170898,0.5190058350563049,0.022176943719387054,0.001,0.6938278079032898,0.9948492050170898,0.9942842125892639,0.5230129361152649,0.023838026449084282,0.697713315486908,0.9942842125892639
7,0.9948492050170898,0.5256423354148865,0.021988483145833015,0.001,0.7291790843009949,0.9948491454124451,0.9942842125892639,0.540778636932373,0.02079067938029766,0.7110642194747925,0.9942842125892639
8,0.9948492646217346,0.5255220532417297,0.02447812631726265,0.001,0.7458909153938293,0.9948491454124451,0.9942842125892639,0.5349079966545105,0.0229412242770195,0.6489684581756592,0.9942842125892639
9,0.9948492050170898,0.5289404988288879,0.021617913618683815,0.001,0.6833189129829407,0.9948492050170898,0.9942842125892639,0.538395881652832,0.021861039102077484,0.6706758737564087,0.9942842125892639
10,0.9948492050170898,0.5426586866378784,0.01781078800559044,0.00020000001,0.6894831657409668,0.9948492050170898,0.9942842125892639,0.5389522314071655,0.02153225615620613,0.6911699771881104,0.9942842125892639
11,0.9948490858078003,0.5435652136802673,0.01735951378941536,0.00020000001,0.7269971966743469,0.9948492050170898,0.9942842125892639,0.5418301820755005,0.02131863497197628,0.7034831047058105,0.9942842125892639
12,0.9948492646217346,0.5502195358276367,0.01664072275161743,4.0000003e-05,0.7164791226387024,0.9948491454124451,0.9942842125892639,0.5435687899589539,0.021092751994729042,0.6989270448684692,0.9942842125892639
13,0.9948492050170898,0.5511521697044373,0.01641034707427025,4.0000003e-05,0.7191003561019897,0.9948492646217346,0.9942842125892639,0.5424090027809143,0.021191224455833435,0.7039440870285034,0.9942842125892639
14,0.9948492050170898,0.5516452193260193,0.01622597873210907,8.000001e-06,0.7200409173965454,0.9948491454124451,0.9942842125892639,0.542695939540863,0.02114955149590969,0.7035444974899292,0.9942842125892639
15,0.9948491454124451,0.5520652532577515,0.016145989298820496,8.000001e-06,0.7207012176513672,0.9948492050170898,0.9942842125892639,0.5426899790763855,0.02115158922970295,0.7043130993843079,0.9942842125892639
16,0.9948490858078003,0.5520893335342407,0.016138873994350433,1.6000001e-06,0.7208213806152344,0.9948492050170898,0.9942842125892639,0.542741596698761,0.021144937723875046,0.7042776346206665,0.9942842125892639
17,0.9948491454124451,0.5521802306175232,0.016124177724123,1.6000001e-06,0.7208218574523926,0.9948491454124451,0.9942842125892639,0.5427861213684082,0.02113955467939377,0.704342246055603,0.9942842125892639
18,0.9948492050170898,0.5521493554115295,0.01611994206905365,1e-06,0.7208214998245239,0.9948491454124451,0.9942842125892639,0.5428441166877747,0.02113165147602558,0.7042387127876282,0.9942842125892639
19,0.9948490858078003,0.5521899461746216,0.01612461544573307,1e-06,0.7208366394042969,0.9948492050170898,0.9942842125892639,0.5428175330162048,0.021135669201612473,0.7043915390968323,0.9942842125892639
20,0.9948491454124451,0.5522915720939636,0.016103330999612808,1e-06,0.7208960056304932,0.9948491454124451,0.9942842125892639,0.5428867340087891,0.02112651616334915,0.7042728066444397,0.9942842125892639
21,0.9948491454124451,0.5522971153259277,0.01611662469804287,1e-06,0.7208033800125122,0.9948491454124451,0.9942842125892639,0.542941153049469,0.021119143813848495,0.7042034864425659,0.9942842125892639
22,0.9948492050170898,0.5523448586463928,0.016105396673083305,1e-06,0.7207541465759277,0.9948492050170898,0.9942842125892639,0.5429863929748535,0.021114012226462364,0.7042019963264465,0.9942842125892639
23,0.9948492050170898,0.552406907081604,0.01609494537115097,1e-06,0.7208014130592346,0.9948492050170898,0.9942842125892639,0.5429893136024475,0.02111409790813923,0.7042636871337891,0.9942842125892639
24,0.9948492050170898,0.5524283647537231,0.016093753278255463,1e-06,0.7207826375961304,0.9948492050170898,0.9942842125892639,0.5430448055267334,0.02110709808766842,0.7042387127876282,0.9942842125892639
25,0.9948490858078003,0.5524250268936157,0.01609552651643753,1e-06,0.7208150625228882,0.9948492050170898,0.9942842125892639,0.5430873036384583,0.021101882681250572,0.7042128443717957,0.9942842125892639
26,0.9948492050170898,0.5525343418121338,0.016080746427178383,1e-06,0.7207695841789246,0.9948492050170898,0.9942842125892639,0.5431388020515442,0.02109609916806221,0.7042230367660522,0.9942842125892639
27,0.9948492050170898,0.5526579022407532,0.01606794260442257,1e-06,0.7207702398300171,0.9948492050170898,0.9942842125892639,0.5431697964668274,0.021092219278216362,0.7042121887207031,0.9942842125892639
28,0.9948492050170898,0.5527204275131226,0.016058826819062233,1e-06,0.7208478450775146,0.9948491454124451,0.9942842125892639,0.5431643724441528,0.021092910319566727,0.7043139934539795,0.9942842125892639
29,0.9948491454124451,0.5526204109191895,0.016069084405899048,1e-06,0.7208762168884277,0.9948491454124451,0.9942842125892639,0.5432045459747314,0.021088313311338425,0.7043066024780273,0.9942842125892639
30,0.9948492050170898,0.5527991056442261,0.01606082171201706,1e-06,0.7209043502807617,0.9948491454124451,0.9942842125892639,0.5432407855987549,0.02108389511704445,0.7042832374572754,0.9942842125892639
31,0.9948492050170898,0.5528384447097778,0.01604238525032997,1e-06,0.7208622694015503,0.9948492050170898,0.9942842125892639,0.5432990193367004,0.02107681706547737,0.7042266130447388,0.9942842125892639
32,0.9948492050170898,0.5528650879859924,0.016047414392232895,1e-06,0.7208099961280823,0.9948492050170898,0.9942842125892639,0.5433377027511597,0.021072229370474815,0.7041985392570496,0.9942842125892639
33,0.9948492050170898,0.5529448390007019,0.016031771898269653,1e-06,0.7208302617073059,0.9948492050170898,0.9942842125892639,0.5433675050735474,0.02106913924217224,0.7042845487594604,0.9942842125892639
34,0.9948491454124451,0.5530170798301697,0.01602807454764843,1e-06,0.7207533717155457,0.9948491454124451,0.9942842125892639,0.5434510707855225,0.02105839177966118,0.7041028141975403,0.9942842125892639
35,0.9948492050170898,0.5529456734657288,0.0160367414355278,1e-06,0.7208256721496582,0.9948492050170898,0.9942842125892639,0.5434560775756836,0.021059012040495872,0.7042429447174072,0.9942842125892639
36,0.9948492050170898,0.5530955195426941,0.016013940796256065,1e-06,0.7209104895591736,0.9948492050170898,0.9942842125892639,0.5434817671775818,0.021056516095995903,0.7043163776397705,0.9942842125892639
37,0.9948491454124451,0.553091824054718,0.016017014160752296,1e-06,0.7209272384643555,0.9948492050170898,0.9942842125892639,0.543527364730835,0.02105093188583851,0.7042869329452515,0.9942842125892639
38,0.9948491454124451,0.5532601475715637,0.016001148149371147,1e-06,0.7208507061004639,0.9948492050170898,0.9942842125892639,0.5435812473297119,0.02104475162923336,0.7042930126190186,0.9942842125892639
39,0.9948492050170898,0.553200900554657,0.016002513468265533,1e-06,0.7207717895507812,0.9948492050170898,0.9942842125892639,0.54366534948349,0.02103385515511036,0.7041000127792358,0.9942842125892639
40,0.9948492050170898,0.5531901121139526,0.0160011425614357,1e-06,0.7208616733551025,0.9948491454124451,0.9942842125892639,0.5436432957649231,0.021038386970758438,0.7043314576148987,0.9942842125892639
41,0.9948491454124451,0.5533215999603271,0.015986742451786995,1e-06,0.7209210395812988,0.9948491454124451,0.9942842125892639,0.5437467694282532,0.02102619968354702,0.7042135000228882,0.9942842125892639
42,0.9948492050170898,0.5534361004829407,0.015988284721970558,1e-06,0.7208667397499084,0.9948491454124451,0.9942842125892639,0.54376220703125,0.021024206653237343,0.7042080760002136,0.9942842125892639
