epoch,accuracy,dice_coef,loss,lr,mean_io_u,precision,val_accuracy,val_dice_coef,val_loss,val_mean_io_u,val_precision
0,0.9736186861991882,0.3337564766407013,1.0087813138961792,0.001,0.5103381872177124,0.9944424629211426,0.9978072047233582,0.3136126399040222,0.14235828816890717,0.3333333432674408,0.9978072643280029
1,0.9941827654838562,0.33364319801330566,0.08842670172452927,0.001,0.5374439358711243,0.9941825866699219,0.9978072047233582,0.33282431960105896,0.0199847761541605,0.5486389398574829,0.9978072047233582
2,0.9941826462745667,0.33592402935028076,0.04648488014936447,0.001,0.7276065349578857,0.9941825866699219,0.9978072047233582,0.33602261543273926,0.014531929045915604,0.7553106546401978,0.9978072047233582
3,0.9941827654838562,0.33712899684906006,0.0337490476667881,0.001,0.6696528196334839,0.9941825866699219,0.9978072047233582,0.33626654744148254,0.014090911485254765,0.6987109184265137,0.9978072047233582
4,0.9941826462745667,0.33933064341545105,0.03418457508087158,0.001,0.6694800853729248,0.9941827058792114,0.9978072047233582,0.33499500155448914,0.01617659069597721,0.5377476215362549,0.9978072643280029
5,0.9941825270652771,0.3391493558883667,0.03433211147785187,0.001,0.6885226964950562,0.9941825866699219,0.9978072047233582,0.3361126482486725,0.022107336670160294,0.8561172485351562,0.9978072047233582
6,0.9941826462745667,0.34254521131515503,0.029648834839463234,0.00020000001,0.7736570239067078,0.9941825866699219,0.9978072047233582,0.3389705717563629,0.014399499632418156,0.7464141845703125,0.9978072643280029
7,0.9941826462745667,0.3430328071117401,0.025959018617868423,0.00020000001,0.7514171600341797,0.9941827058792114,0.9978072047233582,0.33964523673057556,0.013844803906977177,0.7337354421615601,0.9978072047233582
8,0.9941827654838562,0.34545475244522095,0.024648649618029594,0.00020000001,0.7355322241783142,0.9941825866699219,0.9978072047233582,0.3406830132007599,0.01273899432271719,0.7720450162887573,0.9978072047233582
9,0.9941826462745667,0.34696921706199646,0.023531658574938774,0.00020000001,0.7551856637001038,0.9941827058792114,0.9978072047233582,0.34196653962135315,0.01273124199360609,0.7499207258224487,0.9978072047233582
10,0.9941825270652771,0.3496294915676117,0.0234452523291111,0.00020000001,0.745901346206665,0.9941824674606323,0.9978072047233582,0.3438051640987396,0.01133174728602171,0.7676162719726562,0.9978072047233582
11,0.9941826462745667,0.35003387928009033,0.022618040442466736,0.00020000001,0.729300856590271,0.9941827058792114,0.9978072047233582,0.3432026207447052,0.011779329739511013,0.7387712597846985,0.9978072047233582
12,0.9941827654838562,0.35094720125198364,0.022175397723913193,0.00020000001,0.7400796413421631,0.9941825866699219,0.9978072047233582,0.3448280096054077,0.011556684039533138,0.7440344095230103,0.9978072643280029
13,0.9941827654838562,0.3531199097633362,0.02146288752555847,4.0000003e-05,0.7351996898651123,0.9941825866699219,0.9978072047233582,0.34528350830078125,0.011118344031274319,0.7533918023109436,0.9978072643280029
14,0.9941827654838562,0.3534814715385437,0.021252987906336784,4.0000003e-05,0.7448887825012207,0.9941825866699219,0.9978072047233582,0.3456501066684723,0.010936358943581581,0.7562322616577148,0.9978072643280029
15,0.9941826462745667,0.35398486256599426,0.02111668512225151,4.0000003e-05,0.7451930046081543,0.9941827058792114,0.9978072047233582,0.3459789454936981,0.010813391767442226,0.757012128829956,0.9978072047233582
16,0.9941827654838562,0.35475602746009827,0.02095923013985157,4.0000003e-05,0.7385467290878296,0.9941825866699219,0.9978072047233582,0.34647274017333984,0.01069997064769268,0.7553122043609619,0.9978072643280029
17,0.9941827654838562,0.35513800382614136,0.02074701152741909,4.0000003e-05,0.7453083992004395,0.9941827654838562,0.9978072047233582,0.3468567132949829,0.01066755224019289,0.752626895904541,0.9978072643280029
18,0.9941826462745667,0.3559115529060364,0.020557746291160583,4.0000003e-05,0.7389757633209229,0.9941827058792114,0.9978072047233582,0.3472161293029785,0.010706458240747452,0.7521356344223022,0.9978072047233582
19,0.9941826462745667,0.3565826117992401,0.020405298098921776,8.000001e-06,0.7399054765701294,0.9941824674606323,0.9978072047233582,0.3473004996776581,0.010663210414350033,0.7535220980644226,0.9978072047233582
