epoch,accuracy,dice_coef,loss,lr,mean_io_u,precision,val_accuracy,val_dice_coef,val_loss,val_mean_io_u,val_precision
0,0.9777207374572754,0.31361547112464905,21.87844467163086,0.001,0.5469347238540649,0.9467655420303345,0.9988079071044922,0.3238253593444824,0.07547079771757126,0.3333333432674408,0.9988079071044922
1,0.9940034747123718,0.33565449714660645,0.044216472655534744,0.001,0.6677156686782837,0.9940032958984375,0.9988079071044922,0.33351606130599976,0.013300450518727303,0.6117324829101562,0.9988079071044922
2,0.994003415107727,0.33558279275894165,0.03783631697297096,0.001,0.632082462310791,0.9940034747123718,0.9988079071044922,0.33364951610565186,0.020233701914548874,0.8716752529144287,0.9988077878952026
0,0.9940034747123718,0.33557137846946716,0.036368582397699356,0.001,0.6499502062797546,0.9940034747123718,0.9988079071044922,0.3350706994533539,0.01163257285952568,0.7629717588424683,0.9988079071044922
1,0.9940035939216614,0.3406131863594055,0.028512198477983475,0.001,0.7647889852523804,0.994003415107727,0.9988079071044922,0.33758851885795593,0.01271791011095047,0.7575507164001465,0.9988079071044922
2,0.9940034747123718,0.34725433588027954,0.03131591156125069,0.001,0.7733885049819946,0.994003415107727,0.9988079071044922,0.3378622233867645,0.011145072989165783,0.8070294857025146,0.9988079071044922
3,0.9940034747123718,0.348515123128891,0.028884995728731155,0.001,0.770883321762085,0.9940034747123718,0.9988079071044922,0.3395274579524994,0.008295156061649323,0.7522778511047363,0.9988079071044922
4,0.9940032958984375,0.3520764708518982,0.02342427894473076,0.001,0.7404775619506836,0.9940034747123718,0.9988079071044922,0.3398439288139343,0.016590541228652,0.7288081645965576,0.9988079071044922
5,0.9940034747123718,0.36394283175468445,0.023610614240169525,0.001,0.7647140026092529,0.9940034747123718,0.9988079071044922,0.34421324729919434,0.007990142330527306,0.7909209132194519,0.9988079071044922
6,0.9939711689949036,0.3686102032661438,0.021399952471256256,0.001,0.795434296131134,0.9940069317817688,0.9986681938171387,0.3474423885345459,0.008024587295949459,0.7933973073959351,0.9987245798110962
7,0.9939659833908081,0.3718520700931549,0.021963637322187424,0.001,0.7699661254882812,0.9940840005874634,0.9988079071044922,0.3394619822502136,0.007580151781439781,0.7299613952636719,0.9988079071044922
8,0.9939684271812439,0.35829025506973267,0.028513414785265923,0.001,0.7111015319824219,0.9940085411071777,0.9988079071044922,0.343811571598053,0.01372847706079483,0.7758492231369019,0.9988079071044922
9,0.994003176689148,0.33869466185569763,0.06688453257083893,0.001,0.6892671585083008,0.994003176689148,0.9988079071044922,0.33065614104270935,0.03544240444898605,0.356467604637146,0.9988079071044922
10,0.9940035939216614,0.33646368980407715,0.037890076637268066,0.00020000001,0.5451579093933105,0.994003415107727,0.9988079071044922,0.33534345030784607,0.010251724161207676,0.7342101335525513,0.9988079071044922
11,0.9940034747123718,0.3419368863105774,0.028751758858561516,0.00020000001,0.7505521774291992,0.994003415107727,0.9988079071044922,0.33665698766708374,0.012699768878519535,0.7834349274635315,0.9988079071044922
12,0.9940034747123718,0.3465578556060791,0.026392672210931778,4.0000003e-05,0.7715907096862793,0.9940034747123718,0.9988079071044922,0.33707815408706665,0.012283101677894592,0.791465163230896,0.9988079071044922
13,0.9940034747123718,0.3474106788635254,0.025796109810471535,4.0000003e-05,0.7828260660171509,0.994003415107727,0.9988079071044922,0.33758053183555603,0.011441909708082676,0.802255392074585,0.9988079071044922
14,0.9940034747123718,0.3478130102157593,0.025386573746800423,8.000001e-06,0.7859349250793457,0.9940034747123718,0.9988079071044922,0.3376215100288391,0.011428222060203552,0.8001320362091064,0.9988079071044922
